REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Total revenue and total passenger trips,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,349.8,,,,1
Feb-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,334.7,,,,1
Mar-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,341.1,,,,1
Apr-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,336.9,,,,1
May-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,336.2,,,,1
Jun-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,331.1,,,,1
Jul-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,342.2,,,,1
Aug-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,342.3,,,,1
Sep-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,369,,,,1
Oct-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,365.6,,,,1
Nov-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,359.3,,,,1
Dec-19,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,338.7,,,,1
Jan-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,365.9,,,,1
Feb-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,349.9,,,,1
Mar-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,236.4,,,,1
Apr-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,56.3,,,,1
May-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,49.4,,,,1
Jun-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,70.4,,,,1
Jul-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,108.9,,,,1
Aug-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,124.5,,,,1
Sep-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,143.2,,,,1
Oct-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,139.8,,,,1
Nov-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,142.8,,,,1
Dec-20,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,130.9,,,,1
Jan-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,114.8,,,,1
Feb-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,116.7,,,,1
Mar-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,127,,,,1
Apr-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,123.7,,,,1
May-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,121.8,,,,1
Jun-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,127.6,,,,1
Jul-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,150.8,,,,1
Aug-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,160.1,,,,1
Sep-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,189.2,,,,1
Oct-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,195.1,,,,1
Nov-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,201.2,,,,1
Dec-21,Canada,2016A000011124,Urban transit systems [485110],"Total revenue, excluding subsidies",Dollars,81,millions,6,v110673359,1.1.1,177.7,,,,1
Jan-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,160.9,,,,1
Feb-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,153.8,,,,1
Mar-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,164.7,,,,1
Apr-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,157.3,,,,1
May-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,155.3,,,,1
Jun-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,151.8,,,,1
Jul-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,147.4,,,,1
Aug-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,146.2,,,,1
Sep-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,164,,,,1
Oct-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,169.2,,,,1
Nov-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,164.8,,,,1
Dec-19,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,153.3,,,,1
Jan-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,163.9,,,,1
Feb-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,161.2,,,,1
Mar-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,88.5,,,,1
Apr-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,25.7,,,,1
May-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,28.4,,,,1
Jun-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,38.5,,,,1
Jul-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,53.8,,,,1
Aug-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,55.5,,,,1
Sep-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,62.9,,,,1
Oct-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,58.4,,,,1
Nov-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,58.1,,,,1
Dec-20,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,54.2,,,,1
Jan-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,46.4,,,,1
Feb-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,48.8,,,,1
Mar-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,55,,,,1
Apr-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,51.6,,,,1
May-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,51.7,,,,1
Jun-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,55.3,,,,1
Jul-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,62.1,,,,1
Aug-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,65.3,,,,1
Sep-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,82.2,,,,1
Oct-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,86.5,,,,1
Nov-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,91.1,,,,1
Dec-21,Canada,2016A000011124,Urban transit systems [485110],Total passenger trips,Number,223,millions,6,v110673360,1.1.2,82.4,,,,1
